"abbreviation","name","short description"
"Cba","Bright Angel Shale"," Green and purple-red, slope-forming siltstone and shale, and interbeds of reddish-brown to brown sandstone of Tapeats Sandstone lithology. Includes ledge-forming red-brown sandstone member of McKee and Resser 1945. Consists of green and purplish-red, fine (...)"
"Cm","Muav Limestone"," Dark-gray, light-gray, brown, and orange-red, cliff-forming limestone, dolomite, and calcareous mudstone. Includes, in descending order, unclassified dolomites, Havasu, Gateway Canyon, Kanab Canyon, Peach Springs, Spencer Canyon, and Rampart Cave Members  (...)"
"Ct","Tapeats Sandstone"," Brown and reddish-brown, cliff-forming sandstone and conglomerate. Includes an upper slope-forming transition zone of nearly equal distribution of brown sandstone of Tapeats Sandstone lithology and green siltstone and shale of Bright Angel Shale lithology (...)"
"Dtb","Temple Butte Formation"," Purple, reddish-purple, dark-gray, and light-gray, ledge-forming dolomite, sandy dolomite, sandstone, mudstone, and limestone, as defined by Beus 2003. Purple, reddish-purple, and light-gray, fine- to coarse-grained, thin- to medium-bedded, ripple-laminat (...)"
"H20","",""
"IPMs","",""
"Jc","Carmel Formation, undivided"," Red and light-gray, slope-forming sandstone, siltstone, claystone, and silty calcareous and gypsiferous sandstone at Middle Mesa east edge of quadrangle, along Red Lake Monocline (northeast corner of quadrangle), and as isolated outcrops (northwest quarte (...)"
"Je","Entrada Sandstone"," Includes a lower interval of white, very fine-grained, trough crossbedded sandstone equivalent to Entrada Sandstone north of map area; a middle interval of interbedded red, flat-bedded siltstone and sandstone equivalent to Summerville Formation north of m (...)"
"Jk","Kayenta Formation, undivided"," Includes an upper slope-forming siltstone, and a basal cliff of the Springdale Sandstone Member. The Springdale Sandstone Member was originally described as the upper member of the underlying Moenave Formation Averitt and others, 1955; Stewart and others, (...)"
"Jkn","Kayenta Formation and Navajo Sandstone transition zone"," Light-red and white, fine- to medium-grained, massive to crossbedded, cliff-forming beds of Navajo Sandstone lithology that intertongue with purple and light-red, slope-forming mudstone, siltstone, and sandstone beds of Kayenta Formation lithology. Forms  (...)"
"Jks","Kayenta Formation, Springdale Sandstone Member"," The Springdale Sandstone was originally described as an upper member of the underlying Moenave Formation Averitt and others, 1955; Stewart and others, 1972; Sargent and Philpott, 1987; Billingsley and others, 2004 but has since been reassigned as the basa (...)"
"Jm","Moenave Formation and Wingate Sandstone, undivided"," Red and light-red, flat-bedded and crossbedded, fine- to coarse-grained fluvial siltstone and silty sandstone. Unit is divided into the Springdale Sandstone Member upper part and the Dinosaur Canyon Member (lower part) north of the map area near the town  (...)"
"Jn","Navajo Sandstone"," Red, white, and light-reddish-brown, cliff-forming, high-angle-crossbedded, fine- to medium-grained, well-sorted sandstone. Includes scattered horizontal thin siliceous limestone and dolomite lenses at various levels between crossbed sets throughout the u (...)"
"Kd","Dakota Sandstone"," Middle carbonaceous member is dark-grayish-brown, carbonaceous, flat-bedded mudstone, siltstone, coal, and interbedded brown, conglomeratic, crossbedded lenticular sandstone. Coal beds are generally less than 0.5 m 2 ft thick and present only at east end  (...)"
"Km","Mancos Shale"," Bluish-gray to light-gray, thinly laminated to thin-bedded, slope-forming, carbonaceous claystone, siltstone, and mudstone with interbedded light-gray, fine- to medium-grained sandstone. Includes bentonitic claystone, siltstone, and some thin-bedded limes (...)"
"MIPs","",""
"MPu","",""
"Mr","Redwall Limestone, undivided"," Includes, in descending order, Horseshoe Mesa, Mooney Falls, Thunder Springs, and Whitmore Wash Members, as defined by McKee 1963 and McKee and Gutschick (1969), but these members are too small to show at map scale because of the sheer cliff outcrops of t (...)"
"Ms","Surprise Canyon Formation"," Dark-reddish-brown siltstone and sandstone, gray limestone and dolomite, and grayish-white chert conglomerate in dark-red or black sandstone matrix. Formation locally absent throughout map area; present only in paleovalleys and karst caves eroded into top (...)"
"Pc","Coconino Sandstone"," Tan to white, cliff-forming, fine-grained, well-sorted, cross-bedded quartz sandstone. Includes the Schnebly Hill Formation of Blakey 1990 in subsurface of map area. Thin red sandstone beds at base of Coconino Sandstone cliff in Little Colorado River Gorg (...)"
"Pe","Esplanade Sandstone"," Includes, in descending order, an upper cliff and slope, a middle cliff, and lower slope unit. Upper cliff and slope unit includes an upper, light-red or white sandstone cliff and a lower, dark-red siltstone, sandstone, and gypsum slope that visually rese (...)"
"Pep","Esplanade Sandstone and Pakoon Limestone, undivided"," Lower slope unit consists of alternating layers of light-red sandstone, dark-red siltstone and mudstone, and gray thin-bedded limestone of the Esplanade Sandstone Pe. Unconformable contact with underlying Wescogame Formation of the Supai Group undivided ( (...)"
"Ph","Hermit Formation"," Red, slope-forming, fine-grained, thin-bedded, siltstone and sandstone. Upper part contains red, massive, low-angle crossbedded calcareous sandstone interbedded with siltstone where sandstone beds gradually thin or pinch out from north to south across map (...)"
"Pk","Kaibab Formation, undivided"," medium-bedded [1–6 ft 0.3–2 m], fossiliferous, sandy, cherty limestone. In general, unit weathers dark gray. Unit characterized by gray to white fossiliferous chert nodules and white chert lenses parallel to bedding; chert weathers dark gray to black. Som (...)"
"Pkf","Kaibab Formation, Fossil Mountain Member"," Light-gray, cliff-forming, fine- to medium-grained, thin- to medium-bedded 0.3 to 2 m [1 to 6 ft], fossiliferous, cherty, sandy limestone and dolomite. Weathers dark gray to black. In west half of map area unit characterized by abundance of gray and white (...)"
"Pkh","Kaibab Formation, Harrisburg Member"," Reddish-gray and brownish-gray, ledge- and slope-forming, gypsiferous siltstone, calcareous sandstone, and thin-bedded sandy limestone. Top of unit near south edge of quadrangle includes white, low-angle- crossbedded calcareous sandstone with fossil mollu (...)"
"Pt","Toroweap Formation, undivided"," Brady Canyon Member consists of dark- to light-gray, cliff-forming, thin- to medium-bedded 0.5 to 1.5 m [1 to 5 ft], fine- to coarse-grained, fetid, fossiliferous limestone; weathers dark gray. Includes thin-bedded dolomite in upper and lower part; averag (...)"
"Ptb","Toroweap Formation, Brady Canyon and Seligman Members, undivided"," Seligman Member: Gray, light-purple, and yellowish-red, slope-forming, thin-bedded dolomite, sandstone, gypsum, and calcareous sandstone. Forms slope or recess between overlying Brady Canyon Member and underlying Coconino Sandstone Pc in Marble Canyon and (...)"
"Ptw","Toroweap Formation, Woods Ranch Member"," Grand Canyon and Marble Canyon areas: gray and light-red, slope-forming gypsiferous siltstone, gray gypsum, and gray sandstone interbedded with gray, thin-bedded limestone. Weathers to reddish-gray slope. Bedding locally distorted due to dissolution of gy (...)"
"QTa","",""
"QTab","Volcanic rocks of the San Francisco Volcanic Field, basalt and andesite flows"," Dark-gray intersertal to subophitic basalt, with or without glass; partly blocky, hummocky, locally gullied. Weathers yellow-brown to brown. Contains abundant phenocrysts of clinopyroxene and plagioclase, subordinate phenocrysts of orthopyroxene, sparse p (...)"
"QTae","Old mixed alluvium and eolian deposits"," Lithologically similar to young mixed alluvium and eolian Qae deposits, but often capped by thin poorly developed calcrete soil; forms thicker deposits than young mixed alluvium and eolian (Qae) deposits. Include small cobbles and boulders. Form flat mesa (...)"
"QTai","Volcanic rocks of the San Francisco Volcanic Field, basalt and andesite dikes and necks"," Dark-gray intersertal to subophitic basalt with abundant phenocrysts of clinopyroxene, plagioclase, and sparse olivine and hornblende. Source for Quaternary/Tertiary basaltic and andesite flows and pyroclastic deposits. Dikes and necks are 1 to 4 ft 0.5 t (...)"
"QTap","Volcanic rocks of the San Francisco Volcanic Field, basalt and andesite pyroclastic deposits"," Dark-gray intersertal to subophitic pyroclastic deposits. Weathers light yellow-brown. Contain abundant phenocrysts of clinopyroxene and plagioclase in glassy groundmass. Form small pyroclastic cones and isolated pyroclastic deposits. Thickness, 20 to 200 (...)"
"QTb","",""
"QTd","Old dune deposits, undivided"," White, light-red to light-brown, coarse- to very fine-grained sand and silt; partly consolidated beneath veneer of active, reworked sand cover. Form base or internal cores of younger, reactivated linear dunes immediately downwind northeast of Adeii Eechii (...)"
"QTes","Old eolian sand sheet and dune deposits"," Light-red to light-brown, very fine-grained to medium-grained sand and silt. Form widespread deposits on Moenkopi Plateau that merges with old dune QTd and old mixed alluvium and eolian (QTae) deposits. Contacts with other map units are gradational and ar (...)"
"QTg","Terrace-gravel deposits"," Gray and light-brown, mud, silt, sand, gravel, and cobbles; poorly sorted and partly consolidated by calcite, gypsum, and clay cement. Pebbles and boulders are rounded clasts of gray limestone and white chert derived from local outcrops of Kaibab Formatio (...)"
"QTg4","Older terrace-gravel deposits"," Form terrace benches about 45 to 60 m 150 and 200 ft above modern Little Colorado River between Cameron, Arizona, and Black Point. Unit is extensively eroded and stratigraphically below oldest terrace-gravel (QTg5) deposits. Unit forms Baah Lokaa Ridge ea (...)"
"QTg5","Youngest old terrace-gravel deposits"," Gray to light-brown silt, sand, gravel, pebbles and cobbles. Contain well rounded pebbles and cobbles of gray limestone and chert derived from Kaibab Formation, red sandstone clasts derived from Moenkopi Formation, and dominated by quartzite and a few gra (...)"
"QTg6","Intermediate old terrace-gravel deposits"," Gray and light-brown clay, silt, sand, and gravel, poorly sorted; cemented by calcite. Contain angular to subrounded chert, limestone, and sandstone pebbles derived from Cretaceous rocks east of the map area. Form isolated outcrops north of Moenkopi Wash  (...)"
"QTg7","Oldest old terrace-gravel deposits"," Gray and light-brown clay, silt, sand, and gravel, poorly sorted; cemented by calcite. Lithology similar to youngest and intermediate old terrace-gravel deposits QTg5, QTg6 at highest levels north of Moenkopi Wash and east of Tuba City. Unit may represent (...)"
"QTi","Hells Hole dikes"," Dark-gray alkali-olivine basalt. Include three dikes in the Kaibab and Moenkopi Formations in Hells Hole. Form nearly vertical walls that stand out in relief in some places as much as 3 to 4 m 10 to 12 ft high and about 0.5 to 2 m (2 to 6 ft) wide. Dikes  (...)"
"QTp","",""
"Qa","Alluvial deposits"," Brown, red, and gray, slope-forming, unsorted mixture of mud, silt, sand, pebbles, cobbles, and boulders. Clasts are mostly angular, some are rounded; locally consolidated by calcite and gypsum cement. Sandstone, limestone, and chert clasts and gravel are (...)"
"Qa1","Young alluvial fan deposits"," Grayish-brown silt, sand, gravel, and some boulders. Pebbles, cobbles and boulders are subangular to rounded clasts of limestone, chert, and sandstone derived from local Paleozoic and Mesozoic strata of the Moenkopi and Kaibab Formations. Include medium-  (...)"
"Qa2","Intermediate alluvial fan deposits"," Grayish-brown silt, sand, gravel, and some boulders. Pebbles, cobbles and boulders are subangular to rounded clasts of limestone, chert, and sandstone derived from local Paleozoic and Mesozoic strata of the Moenkopi and Kaibab Formations. Include medium-  (...)"
"Qa3","Old alluvial fan deposits"," Grayish-brown silt, sand, gravel, and some boulders. Pebbles, cobbles and boulders are subangular to rounded clasts of limestone, chert, and sandstone derived from local Paleozoic and Mesozoic strata of the Moenkopi and Kaibab Formations. Include medium-  (...)"
"Qae","Mixed alluvium and eolian deposits"," Composed of gray, light-red, and white silt and fine- to coarse-grained, eolian and fluvial sand lenses; includes interbedded reddish-brown and gray silt and clay. Include a few coarse-grained gravel lenses composed primarily of angular chert fragments an (...)"
"Qaf","Artificial fill and quarries"," Alluvium and bedrock material removed from quarries and trench excavations used to build stock tanks, drainage diversion dams, roads, or other manmade construction projects; not all modern highways cuts are shown. Include uranium and copper mine excavatio (...)"
"Qao","",""
"Qay","Young alluvial fan deposits"," On Colorado Plateau, composed of brown, red, and gray, slope-forming, unsorted mix of mud, silt, sand, gravel, pebbles, cobbles, and boulders. Clasts are mostly angular but some are rounded where derived locally from young gravel and sedimentary Tg deposi (...)"
"Qb","Basalt of the Uinkaret Plateau, basalt flows, south of Mount Trumbull"," Dark-gray to black, finely crystalline, alkali-olivine basalt. Olivine and plagioclase phenocrysts common. Include scoriaceous material from pyroclastic deposits. Basalt flows north of Mount Trumbull originated from several pyroclastic vents and generally (...)"
"Qb1","Basalt of the Uinkaret Plateau, basalt flows, north of Mount Trumbull"," Toroweap Valley from higher terrain of the Uinkaret Mountains. Basalt cascades are steep where they flowed over the Hurricane Fault scarp at Hells Hollow drainage in upper Whitmore Canyon and over cliffs of the Kaibab and Toroweap Formations in Whitmore C (...)"
"Qb6375","Basalt of hill 6375, basalt flows"," Dark-gray alkali-olivine basalt. Basalt flowed west 0.8 km 0.5 mi and north about 1.5 km (1 mi). Overlies Harrisburg Member of the Kaibab Formation (Pk). Thickness, 1 to 12 m (3 to 40 ft)."
"Qb6457","Basalt of hill 6457, basalt flows"," Dark-gray alkali-olivine basalt. Basalt flowed north from hill 6457 about 0.8 km 0.5 mi onto young alluvial fan (Qay) and floodplain (Qf) deposits. Thickness, 36 m (120 ft)."
"Qb6588","Basalt of hill 6588, basalt flows"," Dark-gray and light-gray, finely crystalline, alkali-olivine basalt. Include interbedded scoriaceous pyroclastic deposits. Basalt cascaded down steep slope into Toroweap Valley over landslide deposits Ql and lower strata of the Moenkopi Formation and Harr (...)"
"Qb6646","Basalt of hill 6646, basalt flows"," Dark-gray alkali-olivine basalt. Basalt flowed north about 3 km 2 mi. Overlies Harrisburg Member of the Kaibab Formation (Pk). Thickness, 10 to 30 m (30 to 100 ft)."
"Qbf","Basalt flows"," Dark-gray and black porphyritic and aphyric, clinopyroxene-olivine and alkali-olivine basalt. Flows occur locally within present stream drainages, are moderately young in appearance, are locally covered by thin alluvium, eolian sand, or air-borne cinder d (...)"
"Qbmb","Basalt flows"," Dark-gray to black aphyric alkali basalt composed of plagioclase, clinopyroxene, olivine, and magnetite. Weathers yellowish brown to reddish brown. Surface of flows are relatively smooth, flat and undissected. About 10 to 60 m 30 to 200 ft thick."
"Qbmp","Pyroclastic deposits"," Dark-gray to red pyroclastic cones and small rounded spatter cones on basalt flows Qbmb. Weathers yellowish brown and reddish brown. Largest deposit forms Red Mountain (fig. 1). Unit is superficially gullied; consists of bedded cinders, agglutinated spatt (...)"
"Qbt","Basalt flow of Tappan Wash"," Dark-gray and black, dense, aphyric, clinopyroxene-olivine and alkali-olivine basalt. Conspicuously rich in black glassy plagioclase groundmass. Flow originated from Crater Lake volcano N4536 of Wolfe and others, 1987; a vent 9.5 km (6 mi) south of the ma (...)"
"Qcbb","Basalt of Craigs Knoll and Berry Knoll, basalt flows"," Light-gray and dark-gray alkali-olivine basalt. Include lower and upper basalt flows separated by pyroclastic deposits Qcbp. No K-Ar age available. Lower basalt accumulated on Harrisburg Member of the Kaibab Formation (Pk) and lower strata of the Moenkopi (...)"
"Qcbi","Basalt of Craigs Knoll and Berry Knoll, intrusive dikes or necks"," Greenish-black olivine basalt. Widths of dikes shown on map are approximate. "
"Qcbp","Basalt of Craigs Knoll and Berry Knoll, pyroclastic deposits"," Gray and reddish-gray to black cinder, tuff, ash, and scoriaceous ejecta; mostly consolidated into welded tuff. Form cliff on east side of Craigs Knoll and steep slope on south and west side. Deposits mostly covered by dark-gray basalt on north flank of C (...)"
"Qd","Dune sand and sand sheet deposits, undivided"," Coconino Plateau and Gray Mountain area: White, gray, fine- to coarse-grained, wind-blown sand composed mainly of quartz and chert grains derived from Harrisburg Member of the Kaibab Formation west and south of Gray Mountain; accumulates on stream-channel (...)"
"Qdb","Barchan dune deposits"," Coconino Plateau and Gray Mountain area: White, gray, fine- to coarse-grained, wind-blown sand composed mainly of quartz and chert grains derived from Harrisburg Member of the Kaibab Formation west and south of Gray Mountain; accumulates on stream-channel (...)"
"Qdl","Linear dune deposits"," Coconino Plateau and Gray Mountain area: White, gray, fine- to coarse-grained, wind-blown sand composed mainly of quartz and chert grains derived from Harrisburg Member of the Kaibab Formation west and south of Gray Mountain; accumulates on stream-channel (...)"
"Qdlu","Linear dune and sand sheet deposits, undivided"," White, gray, light-red, fine- to coarse-grained, well-sorted, unconsolidated quartz sand derived primarily from the Navajo Sandstone Jn on Moenkopi and Kaibito Plateaus. Unit is often a cluster or group of closely spaced linear dune and sand sheet deposit (...)"
"Qdm","Mixed dune deposits"," White, gray, light-red, fine- to coarse-grained, well-sorted, unconsolidated quartz sand derived primarily from the Navajo Sandstone Jn. Parabolic and linear dunes are the dominant dune types and are often interconnected and associated with massive sand s (...)"
"Qdp","Parabolic dune deposits"," Coconino Plateau and Gray Mountain area: White, gray, fine- to coarse-grained, wind-blown sand composed mainly of quartz and chert grains derived from Harrisburg Member of the Kaibab Formation west and south of Gray Mountain; accumulates on stream-channel (...)"
"Qec","",""
"Qes","Sand sheet deposits"," Coconino Plateau and Gray Mountain area: White, gray, fine- to coarse-grained, wind-blown sand composed mainly of quartz and chert grains derived from Harrisburg Member of the Kaibab Formation west and south of Gray Mountain; accumulates on stream-channel (...)"
"Qf","Floodplain deposits"," Gray, brown, and light-red clay, silt, sand. Include some lenticular gravel. Unit is partly consolidated by gypsum and calcite cement. Intertongue or overlap stream-channel Qs, valley alluvial (Qv), young terrace-gravel (Qgy), and young alluvial fan (Qay) (...)"
"Qg1","Young terrace-gravel deposits"," On Kanab Plateau, Uinkaret Plateau, and Kanab Canyon areas; consists of gray and light-brown, fine- to coarse-grained silt, sand, and gravel; partly consolidated by gypsum and calcite cement. Include gray-blue subrounded limestone and light-red sandstone  (...)"
"Qg2","Intermediate terrace-gravel deposits"," On Kanab Plateau, Uinkaret Plateau, and Kanab Canyon areas; consists of gray and light-brown, fine- to coarse-grained silt, sand, and gravel; partly consolidated by gypsum and calcite cement. Include gray-blue subrounded limestone and light-red sandstone  (...)"
"Qg3","Old terrace-gravel deposits"," Light-brown, pale-red, and gray, poorly sorted fluvial mud, silt, sand, gravel, pebbles, cobbles, and boulders. Composed primarily of subangular to well-rounded Paleozoic sandstone, limestone, and chert clasts of local origin. Include well-rounded clasts  (...)"
"Qgo","Older alluvial terrace deposits"," Similar to young alluvial terrace Qgy deposits and partly consolidated by calcite and gypsum cement. Surface has developed a thin soil that forms a smooth surface texture compared to younger terrace surfaces. Commonly overlapped by or interbedded with tal (...)"
