"abbreviation","name","short description"
"Tei","Basalt north of Mount Emma, intrusive rocks"," Gray-black alkali-olivine basaltic plug or dike. Unit partly exposed and offset by the Hurricane Fault. Most of unit covered by landslide deposits Ql. Width of plug is probably in excess of 90 m (300 ft) and appears to be source of Tertiary basalt flows n (...)"
"Tep","Basalt north of Mount Emma, pyroclastic deposits"," Reddish-black cinder, scoria, ash, and other scoriaceous ejecta; deeply eroded. Associated with intrusive plug Tei on downthrown side of Hurricane Fault north of Mount Emma. Thickness, 12 m (40 ft)."
"Tg","",""
"Tgb","Grassy Mountain Basalt, pyroclastic deposits"," Dark-gray, finely crystalline, alkali-olivine basalt; olivine phenocrysts averaging 1 mm in diameter form about 25 percent of rock sample from interior of basalt flow. One or more flows interbedded with pyroclastic deposits near dikes. Basalts flowed gene (...)"
"Tgc","Rocks of the Grand Wash Trough, paleozoic-clast conglomerate"," Gray, cliff-forming, rounded to subrounded clasts of Paleozoic limestone and sandstone from 1 to 70 cm 1 to 28 in in diameter mixed with coarse gravel and conglomerate derived from Paleozoic rocks of the Colorado Plateau. Consolidated by calcium and gypsu (...)"
"Tgg","Rocks of the Grand Wash Trough, gypsum and gypsiferous siltstone facies"," Gray and gray-white gypsum, greenish-gray, light-red, and reddish-gray gypsiferous siltstone and mudstone. Upper 15 to 20 m 50 to 65 ft consists mostly of multicolored, banded, thin-bedded mudstone and gypsiferous siltstone interbedded with thin-bedded (0 (...)"
"Tgi","Grassy Mountain Basalt, intrusive dikes"," Dark-gray, finely crystalline, alkali-olivine basalt. Source areas for associated basalt flows and pyroclastic deposits on Grassy Mountain. Dikes are aligned with nearly vertical east-west bedrock joints and fractures of this area. Widths, 0.5 to 2 m 1 to (...)"
"Tgl","Rocks of the Grand Wash Trough, limestone and siltstone facies"," Gray, silty, crystalline limestone, light-red, gray, and greenish-gray gypsiferous siltstone, gray to reddish-gray calcareous sandstone, and gray to white gypsum. Limestone beds are vuggy, irregularly bedded, 1 to 10 m 3 to 30 ft thick. Contain abundant p (...)"
"Tgp","Grassy Mountain Basalt, basalt flows"," Red to reddish-black, angular, scoriaceous cinder fragments and ash deposits; unconsolidated. Spatially associated with intrusive dikes; interbedded with local basalt flows Tgb. Thickness, 1 to 6 m (3 to 20 ft)."
"Tgr","Rocks of the Grand Wash Trough, red siltstone, sandstone, and conglomerate facies"," Dark-red to orange-red, slope-forming, medium- to fine-grained, gypsiferous siltstone and sandstone overlain by cliff-forming, gray to light-orange-brown, coarse- to fine-grained, poorly sorted, consolidated silt, sand, gravel, and conglomerate. Clasts in (...)"
"Tgs","Gravel and sedimentary deposits"," Gray, brown, and white clay, sand, silt, and gravel, poorly sorted; consolidated. Unit consists mostly of fine-grained gray silty sand that includes scattered pebbles and cobbles of well-rounded gray sandstone and limestone derived from Jurassic and Creta (...)"
"Tgx","Proterozoic-clast conglomerate facies"," Dark-gray to reddish-brown, cliff- to resistant slope-forming conglomerate. Includes interbedded lenses of gravel and sandstone, poorly sorted and moderately well bedded; consolidated. Clasts are composed of reddish-brown, brown, red, grayish-green, and l (...)"
"Thma","Andesite flows of Howard Mesa"," Dark-gray to gray-black andesite; includes two lobes extending into map area from the south. Contains scattered phenocrysts of plagioclase and quartz 1/8 inch in diameter. Plagioclase is intensely corroded; quartz is less abundant, is corroded and has pyr (...)"
"Ths","Horse Spring Formation, Rainbow Gardens Member"," Includes basal conglomerate and middle limestone and sandstone unit. Consists of complex intertonguing sequence of clastic and carbonate lithofacies. Upper unit of the Rainbow Gardens Member is not exposed within map area but is assumed to be present in s (...)"
"Ti","Volcanic rocks of the Hualapai Plateau, intrusive dikes"," Dark-gray basalt composed of plagioclase, clinopyroxene, olivine, and opaque oxides. Dikes occur in Moenkopi Wash southwest of Tuba City, in Hamblin Wash south of The Gap, at Tuba Butte northwest of Tuba City, and at Wildcat Peak northeast of Tuba City. D (...)"
"Tmb","Basalt of Mount Trumbull, basalt flows"," Gray-black, finely crystalline, alkali-olivine basalt. Groundmass contains olivine phenocrysts and plagioclase laths. Consist of one or more thin basalt flows that form caprock overlying concealed purple and white mudstone and sandstone beds of the Petrif (...)"
"Tmi","Basalt of Mount Trumbull, intrusive rocks"," Gray-black, finely crystalline, alkali-olivine basalt. Forms highest point on north side of Mount Trumbull elev. 2,447 m [8,029 ft]. Source for Tertiary basalt flows on Mount Trumbull. Width, 120 m (400 ft) or more."
"Tmlb","Basalt of Mount Logan, basalt flows"," Light-gray, finely crystalline, alkali-olivine basalt; contains red and green olivine phenocrysts 1 mm in diameter in glassy groundmass; includes plagioclase laths in glassy groundmass. Plagioclase masses form white spotted blotches in some areas. Basalt  (...)"
"Tocb","Basalt flow of Cedar Ranch Mesa"," Dark-gray, massive, olivine-phyric basalt; weathers brown and has a smooth surface. Contains abundant 1- to 3-mm subhedral to euhedral olivine phenocrysts rimmed with iddingsite in a distinctive holcrystalline groundmass of intergranular to subophitic cli (...)"
"Tp","Pyroclastic deposits"," Dark-gray to red cinder and spatter fragments; weathers yellowish brown, brown, or reddish brown. Composed of clinopyroxene and olivine phenocrysts, plagioclase, opaque oxides, and glass; partly decomposed and weathers light red. Mass wasting has diminish (...)"
"Tp6i","Dikes of Parashant Canyon and Hundred and Ninetysix Mile Creek"," Dark-gray, fine-grained to coarsely crystalline, olivine-augite basalt. Dikes commonly form recessive cracks in limestone rocks of canyon walls that appear as open eroded joints. Commonly eroded and chemically altered or decomposed, especially near Colora (...)"
"Tpb","Poverty Mountain Basalt, basalt flows"," Medium-gray to light-gray, finely crystalline, alkali-olivine basalt. Include augite and olivine phenocrysts less than 1 mm in diameter in glassy groundmass. Basalt overlies gently east-northeast-dipping 2° average upper red member and Shnabkaib Member of (...)"
"Tpi","Poverty Mountain Basalt, intrusive neck"," Medium-gray, finely crystalline, alkali-olivine basalt. Forms small dike associated with basalt flows and pyroclastic deposits near eastern part of mountain. Dike and nearby small pyroclastic vents are aligned northwest-southeast and are main sources for  (...)"
"Tpkb","Basalt of Poverty Knoll, basalt flow"," Light-gray, finely crystalline, alkali-olivine basalt containing plagioclase laths and olivine phenocrysts 1 mm in diameter in glassy groundmass; contains about 35 percent olivine phenocrysts. Flow emerged from central dike and flowed in radial pattern ov (...)"
"Tpki","Basalt of Poverty Knoll, intrusive dike"," Light-gray, finely crystalline, alkali-olivine basalt. Forms small knoll, center-top of Poverty Knoll. "
"Tpp","Poverty Mountain Basalt, pyroclastic deposits"," Reddish-black and red fragments of scoria, cinders, and small ribbons overlie basalt flows at and near vent areas. Interbedded with basalt flows near dike Tpi and pyroclastic cone areas. Largest cone is about 25 m (80 ft) thick."
"Tr","Volcanic rocks of the Mount Floyd Volcanic Field, rhyolite, rhyodacite, and obsidian flows"," Light gray, dark red, and grayish-black. Obsidian flows are mostly black obsidian but often contain black and gray-banded obsidian or red to red and black obsidian east of Red Lake and southwest of Black Tank Camp sec. 18, T. 26 N., R. 4 W.. 40Ar/39Ar age (...)"
"Trb","Volcanic  rocks of the San Francisco Volcanic Field, basalt flow of Red Butte"," Basalt flow of Red Butte Miocene—Dark-gray olivine basalt. Weathers brown; massive flow. K/Ar age, 8.92±0.23 Ma (Wolfe and others, 1987), 9.73±0.91 Ma and 8.78±0.22 Ma (Reynolds and others, 1986). Forms basalt caprock over thin soil deposit 3 to 5 ft (1 t (...)"
"Tri","Volcanic rocks of the Mount Floyd Volcanic Field, rhyolite, rhyodacite, obsidian dikes, necks, vents"," Red, gray, and black rhyolite and rhyodacite. Rhyolite exhibits convoluted and twisted thin platy flow patterns; weathered outcrops resemble roof shingles. Map contacts are approximate because erosion has not fully exposed extent of these intrusive featur (...)"
"Trm","",""
"Ts","Sedimentary rocks"," Light-red, gray, and white interbedded siltstone, sandstone, arkosic gravel, lenticular conglomerate, and gray, thin-bedded [1 to 3 ft 0.5 to 1 m] freshwater limestone. Limestone beds contain long vertical tubular structures generally ½ inch (0.12 cm) in  (...)"
"Ts1","",""
"Ts2","",""
"Tsb","Shivwits Basalt, basalt flows"," Gray-black, finely crystalline, alkali-olivine basalt. Groundmass contains olivine phenocrysts and plagioclase laths. Consist of one or more thin basalt flows overlying red and white mudstone, siltstone, sandstone, and gypsifereous siltstone beds of the M (...)"
"Tsgb","Snap Point Basalt and Garrett Dikes, basalt flows"," Dark-gray alkali-olivine basalt. Basalt originates from dike source near highest part of Snap Point. Consists of two separate basalt flows, one flowed east about 2.4 km 1.5 mi down drainage eroded into Fossil Mountain Member of the Kaibab Formation (Pk) o (...)"
"Tsgi","Snap Point Basalt and Garrett Dikes, intrusive dikes"," Dark-gray, greenish, finely crystalline, alkali-olivine basalt. Contain phenocrysts of augite and olivine less than 1 mm in diameter. Form near-vertical dikes orientated in north-south alignment parallel to local joints and fractures in Paleozoic bedrock  (...)"
"Tsi","Shivwits Basalt, intrusive rocks"," Gray-black, finely crystalline, alkali-olivine basalt. Approximate map contact. Source for extensive basalt flows and pyroclastic deposits on the southern Shivwits Plateau west of Grand Canyon average elev. 1,829 m [6,000 ft]. Dikes align about N. 30° W., (...)"
"Tsp","Basalt of the Shivwits Plateau, pyroclastic deposits"," Reddish-black scoria and cinder fragments, partly consolidated. Form small pyroclastic cones, heavily eroded and partly covered by basalt flows. Often interbedded with basalt flows near vent areas. Thickness, 12 m 40 ft."
"Tv","Volcanic rocks of the Hualapai Plateau, andesite flows and basalt flows, undivided"," Volcanic deposits on the Hualapai Plateau are alkali-olivine basalt and andesitic basalt flows, agglomerate, volcanogenic fluvial sediments, and rhyolite ash flows derived from local and distant sources. Deposits include the Separation Hill basalt near th (...)"
"Tvi","",""
"Twb","Whitmore Dike Swarm, basalt flow"," Dark-gray to black alkali-olivine basalt. Includes small olivine phenocrysts and plagioclase laths in glassy groundmass. Basalt emerged from dike Twi in lower part of Hermit Formation (Ph) and flowed down steep debris slope descending about 60 m (200 ft)  (...)"
"Twi","Whitmore Dike Swarm, intrusive dikes"," Dark-gray to black alkali-olivine basalt. K-Ar age, 4.56±0.12 Ma Wenrich and others, 1995. Form nearly vertical dikes eroded down to bedrock surface of Esplanade Sandstone and Pakoon Limestone (Pep) about 2 km (1.3 mi) southwest of Whitmore Canyon and 3 k (...)"
"Tyb","Volcanic  rocks of the San Francisco Volcanic Field, young basalt flows"," Medium- to dark-gray basalt; includes plagioclase-phyric, aphyric, and slightly porphyritic basalt. Smooth surfaced, partly dissected. Composed of plagioclase, clinopyroxene, olivine, and opaque oxides. Thickness less than 90 ft 28 m."
"Tyi","Volcanic  rocks of the San Francisco Volcanic Field, young intrusive rocks"," Dark-gray basalt and mixed pyroclastic dikes and necks. Composed of plagioclase, clinopyroxene, olivine, and opaque oxides. Intrusives from 4 to 20 ft 1.2 to 6 m wide."
"Typ","Volcanic  rocks of the San Francisco Volcanic Field, young pyroclastic deposits"," Dark-gray to red cinder and spatter fragments; weather yellowish-brown, brown, or reddish-brown. Composed of clinopyroxene and olivine phenocrysts, plagioclase, opaque oxides, and glass. Mass wasting has diminished slope angles of pyroclastic cones; flank (...)"
"Xbr","Brahma Schist"," Consists of amphibolite, hornblende-biotite-plagioclase schist, biotiteplagioclase schist, orthoamphibole-bearing schist and gneiss, and metamorphosed sulfide deposits. Mafic to intermediate-composition metavolcanic rocks. About 1.75 Ga. Locally interlaye (...)"
"Xc","Carbonate and chert"," A few meters thick interval of carbonate rock and chert nodules within an orthoamphibole schist, one location only, below Colorado River Mile 237. "
"Xdg","Diorite, gabbro, and anorthosite"," About 1.74 to 1.72 Ga. "
"Xec","Elves Chasm pluton"," Oldest plutonic rocks, possible “basement” substrate. Contains mafic hornblende-biotite tonalite and intermediate-composition plutonic units (quartz diorite), including tabular amphibolite bodies that may be dikes. About 1.84 Ga ."
"Xg","Granite"," Unfolded to weakly foliated, medium- to fine-grained muscovite-biotite, granitic pegmatite and aplite dikes, sills, and small plutons. U-Pb zircon ages range from 1,685 to 1,680±1 Ma Hawkins and others, 1996."
"Xgd","Granodiorite-gabbro-diorite and granodiorite complexes"," Weakly to well-foliated, medium- to coarse-grained quartz-plagioclase and diorite-hornblende-bearing granitoids of probable volcanic arc origin 1.74 to 1.71 Ga."
"Xgr","Granite, granitic pegmatite and aplite"," Granite plutons and stocks and pegmatite and aplite dikes emplaced synchronously with peak metamorphism. One small outcrop in map area is at Colorado River Mile 190 just south of Whitmore Canyon junction with Colorado River. About 1.7–1.66 Ma Ilg and othe (...)"
"Xm","Mafic metavolcanic rocks"," Biotite hornblende schist and amphibolite. Contains abundant biotite and garnet. Equivalent to Brahma Schist of eastern Grand Canyon. "
"Xo","Orthoamphibole schist"," Regolith. An interval several meters thick of weathered detritus eroded from older plutonic rocks. Metamorphic monazite from pelitic schist containing garnet, kyanite, gedrite, sillimanite, and cordierite. Very small outcrops along Colorado River within G (...)"
"Xr","Rama Schist and Gneiss"," Massive, fine-grained quartzofeldspathic schist and gneiss of probable felsic metavolcanic rocks. About 1.75 Ga. Locally interlayered with Brahma Schist Xbr and Vishnu Schist (Xv) ."
"Xs","Schist"," Quartz-mica, schist, and pelitic schist. "
"Xu","Crystalline rocks, undivided"," Undivided intrusive and metamorphic rocks. Includes granite plutons, stocks, and pegmatite and aplite dikes, gabbro-diorite, and granodiorite rocks, garnet schist, hornblende-biotite schist, orthoamphibole-bearing schist and gneiss, and probable felsic me (...)"
"Xum","Ultramafic rocks"," Probable cumulate origin as supracrustal rocks. "
"Xv","Vishnu Schist"," Quartz-mica schist, pelitic schist, and meta-arenites of probable volcanic arc basin origin. Locally contains graded bedding and turbidite layering. Strongly foliated with multiple generations of folds and foliations Ilg and others, 1996."
"YZn","Nankoweap Formation, undivided"," Unconformity-bounded Nankoweap Formation separates rocks of the Neoproterozoic Chuar Group and Late Mesoproterozoic Unkar Group. Includes an upper and lower member, undivided Gebel, 1978. Upper member is composed of siltstone and thick-bedded, fine-graine (...)"
"Yb","Bass Formation"," Red-brown and reddish-gray, ledge-forming dolomite, silty sandstone, and conglomerate. Includes basal Hotauta Conglomerate Member as defined by Dalton 1972. Consists of fine- to coarse-grained, thin- to mediumbedded dolomite, fine- to coarse-grained, thin (...)"
"Yc","Cardenas Basalt"," Includes informal members, in descending order: the lapillite, fan-jointed, and bottle-green members Lucchitta and Hendricks, 1983. Lapillite member is composed of scoriaceous fragments of volcanic bombs and ash matrix interbedded in massive basalt flows  (...)"
"Yd","Dox Formation"," Includes, in descending order, Ochoa Point, Comanche Point, Solomon Temple, and Escalante Creek Members as defined by Stevenson and Beus 1982. Of these, only part of the Escalante Creek is exposed in map area. Upper two-thirds or more of the Dox is remove (...)"
"Ydc","Dox Formation, Comanche Point Member"," Light-red, pale-green to white, slope-forming, mudstone and siltstone and minor thin-bedded sandstone. Includes mud cracks, ripple marks, salt casts, wavy to irregular bedding, and stromatolitic dolomite beds within or adjacent to white siltstone beds. Th (...)"
"Yde","Dox Formation, Escalante Creek Member"," Light-brown to greenish-brown sandstone, calcareous sandstone, and arkosic sandstone. Includes an upper dark-brown to green shale and mudstone. Thickness, 1,278 ft 390 m."
"Ydo","Dox Formation, Ochoa Point Member"," Red slope- and cliff-forming micaceous mudstone that grades upward into red quartz sandstone and silty sandstone. Includes salt-crystal casts in mudstone and asymmetrical ripple marks and small-scale crossbeds in sandstone. Thickness, 250 to 300 ft 976 to (...)"
"Yds","Dox Formation, Solomon Temple Member"," Cyclical sequence of red mudstone, siltstone, and quartz sandstone. Includes thin beds of argillaceous dolomite or calcareous siltstone. Mud cracks and ripple marks are common. Thickness, 920 ft 280 m."
"Yg","Young granite and pegmatite"," Granite plutons, stocks, dikes, and pegmatite. About 1.4 Ga billion years old."
"Yh","Hakatai Shale, undivided"," Orange-red, purple, and red mudstone, shale, and sandstone. Forms an upper cliff unit, a middle slope unit, and a lower slope unit. Upper cliff unit consists of pale-purple or lavender, fine- to coarse-grained, thin- to mediumbedded, cross-bedded sandston (...)"
"Yi","Unnamed diabase sills and dikes"," Black, medium- to coarse-grained, olivine-rich diabase. Contains plagioclase, olivine, clinopyroxene, magnetite-ilmenite, and biotite. Diabase sills and dikes intrude all rocks within Unkar Group below Cardenas Basalt. Chemical variation diagrams indicate (...)"
"Ys","Shinumo Sandstone, undivided"," Red-brown, purple, and gray, cliff-forming sandstone. Includes four undivided informal members as defined by Daneker 1975. In descending order, they are upper, upper middle, lower middle, and lower sandstone members. Upper member consists of red-brown and (...)"
"Zgcc","Galeros Formation, Carbon Canyon Member"," Fine-grained, interbedded siliciclastic mudstone, siltstone, and sandstone. Includes several thin dolomite and sandstone marker beds, 3 to 6 ft 1 to 2 m thick. Sandstone beds contain symmetric and interference ripple marks, low-angle crossbeds, and mud-cr (...)"
"Zgd","Galeros Formation, Duppa Member"," Fine-grained siliciclastic unit dominated by shale and interbedded thin-bedded siltstone. Includes interbedded calcareous siltstone beds about 3 ft 1 m thick. Variable thickness, 571 to 2,050 ft (174 to 625 m)."
"Zgj","Galeros Formation, Jupiter Member"," Fine-grained, interbedded siliciclastic mudstone, siltstone, sandstone, and dolomite. Dolomite and some sandstone beds form several marker beds throughout unit. Base of unit is stromatolitic dolomite, 40 ft 912 m thick. Interbedded sandstone beds contain  (...)"
"Zgt","Galeros Formation, Tanner Member"," Very fine grained siliciclastic siltstone, sandstone, and thin dolomite. Include dark-brown dolomite at base of unit that unconformably overlies sandstone beds of the Nankoweap Formation. Thickness, 20 to 80 ft 6 to 24 m."
"Zka","Kwagunt Formation, Awatubi Member"," Red, green, blue, and light-brown mudstone, siltstone, and sandstone. A basal tan to light-brown stromatolite carbonate bed contains fossil biohermal dome features. Thin-bedded sandstone and siltstone contain ripple foreset beds and mud-crack casts. Near  (...)"
"Zkcb","Kwagunt Formation, Carbon Butte Member"," Interbedded sandstone and siltstone. Basal sandstone is brown, medium- to fine-grained, thick sandstone, forming a distinctive marker bed approximately 252 ft 76 m thick, and includes abundant soft-sediment deformation features, interference ripple marks, (...)"
"Zkw","Kwagunt Formation, Walcott Member"," Black to gray mudstone, gray dolomitic sandstone 12 to 31 ft [4 to 9.5 m] thick, brecciated dolomite and sandstone. A thin tephra deposit yielded a U-Pb zircon age of 742±6 Ma, providing an upper age limit for the Chuar Group (Karlstrom and others, 2000). (...)"
"Zs","Sixtymile Formation, undivided"," Informally divided into, in descending order, the lower, middle, and upper members Elston, 1979. Lower member is composed of slumped blocks of dolomite surrounded by black shale exposed mainly in Sixtymile Canyon in eastern Grand Canyon. Middle member is  (...)"
"lPMs","",""
"river","",""
"water","",""
